Algorithm,Bach,Beethoven,Chopin,Gibbons,Mozart
COSIACTTEC,0.16,0.10,0.03,0.13,0.21
COSIACTTEC-RRT,0.16,0.11,0.03,0.13,0.21
COSIACTTECBB,0.15,0.16,0.06,0.16,0.26
COSIACTTECBB-RRT,0.15,0.18,0.06,0.16,0.26
COSIACTTECSegment,0.13,0.32,0.17,0.26,0.37
COSIACTTECSegment-RRT,0.11,0.33,0.17,0.26,0.37
COSIARCTTEC,0.16,0.10,0.03,0.13,0.19
COSIARCTTEC-RRT,0.16,0.11,0.03,0.13,0.19
COSIARCTTECBB,0.15,0.16,0.06,0.16,0.24
COSIARCTTECBB-RRT,0.15,0.18,0.06,0.16,0.24
COSIARCTTECSegment,0.13,0.32,0.17,0.26,0.34
COSIARCTTECSegment-RRT,0.11,0.33,0.17,0.26,0.34
COSIARTEC,0.11,0.09,0.02,0.10,0.12
COSIARTEC-RRT,0.12,0.08,0.02,0.10,0.11
COSIARTECBB,0.11,0.26,0.12,0.25,0.26
COSIARTECBB-RRT,0.14,0.32,0.11,0.25,0.21
COSIARTECSegment,0.11,0.48,0.28,0.47,0.42
COSIARTECSegment-RRT,0.13,0.63,0.28,0.47,0.44
COSIATEC,0.11,0.10,0.03,0.11,0.15
COSIATEC-RRT,0.11,0.07,0.02,0.11,0.14
COSIATECBB,0.12,0.34,0.09,0.22,0.27
COSIATECBB-RRT,0.13,0.24,0.09,0.22,0.28
COSIATECSegment,0.11,0.55,0.20,0.44,0.46
COSIATECSegment-RRT,0.12,0.51,0.24,0.44,0.47
Forth,0.13,0.23,0.08,0.31,0.17
Forth-RRT,0.13,0.20,0.07,0.31,0.17
ForthBB,0.13,0.28,0.13,0.25,0.22
ForthBB-RRT,0.15,0.22,0.14,0.25,0.21
ForthCT,0.24,0.44,0.16,0.33,0.47
ForthCT-RRT,0.26,0.33,0.16,0.33,0.47
ForthCTBB,0.24,0.47,0.20,0.31,0.51
ForthCTBB-RRT,0.25,0.36,0.20,0.31,0.51
ForthCTSegment,0.20,0.48,0.22,0.31,0.52
ForthCTSegment-RRT,0.21,0.38,0.22,0.31,0.52
ForthR,0.23,0.15,0.08,0.28,0.22
ForthR-RRT,0.26,0.13,0.08,0.28,0.22
ForthRBB,0.22,0.24,0.13,0.22,0.28
ForthRBB-RRT,0.25,0.19,0.13,0.22,0.28
ForthRCT,0.24,0.44,0.16,0.33,0.47
ForthRCT-RRT,0.26,0.33,0.16,0.33,0.47
ForthRCTBB,0.24,0.47,0.20,0.31,0.51
ForthRCTBB-RRT,0.25,0.36,0.20,0.31,0.51
ForthRCTSegment,0.20,0.48,0.22,0.31,0.52
ForthRCTSegment-RRT,0.21,0.38,0.22,0.31,0.52
ForthRSegment,0.20,0.29,0.23,0.23,0.34
ForthRSegment-RRT,0.23,0.24,0.22,0.23,0.34
ForthSegment,0.13,0.31,0.27,0.25,0.28
ForthSegment-RRT,0.20,0.26,0.27,0.25,0.26
ReCOSIACTTEC,0.16,0.10,0.03,0.13,0.21
ReCOSIACTTEC-RRT,0.16,0.11,0.03,0.13,0.21
ReCOSIACTTECBB,0.15,0.16,0.06,0.16,0.26
ReCOSIACTTECBB-RRT,0.15,0.18,0.06,0.16,0.26
ReCOSIACTTECSegment,0.13,0.32,0.17,0.26,0.37
ReCOSIACTTECSegment-RRT,0.11,0.33,0.17,0.26,0.37
ReCOSIARCTTEC,0.16,0.10,0.03,0.13,0.19
ReCOSIARCTTEC-RRT,0.16,0.11,0.03,0.13,0.19
ReCOSIARCTTECBB,0.15,0.16,0.06,0.16,0.24
ReCOSIARCTTECBB-RRT,0.15,0.18,0.06,0.16,0.24
ReCOSIARCTTECSegment,0.13,0.32,0.17,0.26,0.34
ReCOSIARCTTECSegment-RRT,0.11,0.33,0.17,0.26,0.34
ReCOSIARTEC,0.11,0.09,0.02,0.10,0.12
ReCOSIARTEC-RRT,0.12,0.08,0.02,0.10,0.11
ReCOSIARTECBB,0.11,0.26,0.12,0.25,0.26
ReCOSIARTECBB-RRT,0.14,0.32,0.11,0.25,0.21
ReCOSIARTECSegment,0.11,0.48,0.28,0.47,0.42
ReCOSIARTECSegment-RRT,0.13,0.63,0.28,0.47,0.44
ReCOSIATEC,0.11,0.10,0.03,0.11,0.15
ReCOSIATEC-RRT,0.11,0.07,0.02,0.11,0.14
ReCOSIATECBB,0.12,0.34,0.09,0.22,0.27
ReCOSIATECBB-RRT,0.13,0.24,0.09,0.22,0.28
ReCOSIATECSegment,0.11,0.55,0.20,0.44,0.46
ReCOSIATECSegment-RRT,0.12,0.51,0.24,0.44,0.47
ReForth,0.13,0.23,0.08,0.31,0.17
ReForth-RRT,0.13,0.20,0.07,0.31,0.17
ReForthBB,0.13,0.28,0.13,0.25,0.22
ReForthBB-RRT,0.15,0.22,0.14,0.25,0.21
ReForthCT,0.24,0.44,0.16,0.33,0.47
ReForthCT-RRT,0.26,0.33,0.16,0.33,0.47
ReForthCTBB,0.24,0.47,0.20,0.31,0.51
ReForthCTBB-RRT,0.25,0.36,0.20,0.31,0.51
ReForthCTSegment,0.20,0.48,0.22,0.31,0.52
ReForthCTSegment-RRT,0.21,0.38,0.22,0.31,0.52
ReForthR,0.23,0.15,0.08,0.28,0.22
ReForthR-RRT,0.26,0.13,0.08,0.28,0.22
ReForthRBB,0.22,0.24,0.13,0.22,0.28
ReForthRBB-RRT,0.25,0.19,0.13,0.22,0.28
ReForthRCT,0.24,0.44,0.16,0.33,0.47
ReForthRCT-RRT,0.26,0.33,0.16,0.33,0.47
ReForthRCTBB,0.24,0.47,0.20,0.31,0.51
ReForthRCTBB-RRT,0.25,0.36,0.20,0.31,0.51
ReForthRCTSegment,0.20,0.48,0.22,0.31,0.52
ReForthRCTSegment-RRT,0.21,0.38,0.22,0.31,0.52
ReForthRSegment,0.20,0.29,0.23,0.23,0.34
ReForthRSegment-RRT,0.23,0.24,0.22,0.23,0.34
ReForthSegment,0.13,0.31,0.27,0.25,0.28
ReForthSegment-RRT,0.20,0.26,0.27,0.25,0.26
ReSIACTTECCompress,0.18,0.14,0.08,0.15,0.22
ReSIACTTECCompress-RRT,0.15,0.14,0.08,0.14,0.22
ReSIACTTECCompressBB,0.18,0.17,0.11,0.18,0.26
ReSIACTTECCompressBB-RRT,0.15,0.17,0.11,0.18,0.26
ReSIACTTECCompressSegment,0.15,0.19,0.15,0.18,0.28
ReSIACTTECCompressSegment-RRT,0.13,0.19,0.15,0.17,0.28
ReSIARCTTECCompress,0.18,0.14,0.08,0.15,0.22
ReSIARCTTECCompress-RRT,0.15,0.14,0.08,0.14,0.22
ReSIARCTTECCompressBB,0.18,0.17,0.11,0.18,0.26
ReSIARCTTECCompressBB-RRT,0.15,0.17,0.11,0.18,0.26
ReSIARCTTECCompressSegment,0.15,0.19,0.15,0.18,0.28
ReSIARCTTECCompressSegment-RRT,0.13,0.19,0.15,0.17,0.28
ReSIARTECCompress,0.12,0.15,0.06,0.14,0.13
ReSIARTECCompress-RRT,0.17,0.15,0.06,0.14,0.13
ReSIARTECCompressBB,0.19,0.42,0.28,0.28,0.34
ReSIARTECCompressBB-RRT,0.20,0.42,0.28,0.28,0.35
ReSIARTECCompressSegment,0.19,0.55,0.47,0.42,0.50
ReSIARTECCompressSegment-RRT,0.20,0.57,0.48,0.42,0.51
ReSIATECCompress,0.14,0.14,0.07,0.14,0.18
ReSIATECCompress-RRT,0.17,0.14,0.06,0.14,0.17
ReSIATECCompressBB,0.19,0.40,0.24,0.30,0.42
ReSIATECCompressBB-RRT,0.21,0.38,0.24,0.30,0.39
ReSIATECCompressSegment,0.21,0.57,0.42,0.47,0.53
ReSIATECCompressSegment-RRT,0.22,0.53,0.41,0.47,0.52
SIACTTECCompress,0.18,0.14,0.08,0.15,0.22
SIACTTECCompress-RRT,0.15,0.14,0.08,0.14,0.22
SIACTTECCompressBB,0.18,0.17,0.11,0.18,0.26
SIACTTECCompressBB-RRT,0.15,0.17,0.11,0.18,0.26
SIACTTECCompressSegment,0.15,0.19,0.15,0.18,0.28
SIACTTECCompressSegment-RRT,0.13,0.19,0.15,0.17,0.28
SIARCTTECCompress,0.18,0.14,0.08,0.15,0.22
SIARCTTECCompress-RRT,0.15,0.14,0.08,0.14,0.22
SIARCTTECCompressBB,0.18,0.17,0.11,0.18,0.26
SIARCTTECCompressBB-RRT,0.15,0.17,0.11,0.18,0.26
SIARCTTECCompressSegment,0.15,0.19,0.15,0.18,0.28
SIARCTTECCompressSegment-RRT,0.13,0.19,0.15,0.17,0.28
SIARTECCompress,0.12,0.15,0.06,0.14,0.13
SIARTECCompress-RRT,0.17,0.15,0.06,0.14,0.13
SIARTECCompressBB,0.19,0.42,0.28,0.28,0.34
SIARTECCompressBB-RRT,0.20,0.42,0.28,0.28,0.35
SIARTECCompressSegment,0.19,0.55,0.47,0.42,0.50
SIARTECCompressSegment-RRT,0.20,0.57,0.48,0.42,0.51
SIATECCompress,0.14,0.14,0.07,0.14,0.18
SIATECCompress-RRT,0.17,0.14,0.06,0.14,0.17
SIATECCompressBB,0.19,0.40,0.24,0.30,0.42
SIATECCompressBB-RRT,0.21,0.38,0.24,0.30,0.39
SIATECCompressSegment,0.21,0.57,0.42,0.47,0.53
SIATECCompressSegment-RRT,0.22,0.53,0.41,0.47,0.52