Algorithm, Basic algorithm, Mode, RecurSIA, RRT, CT, R,Bach,Beethoven,Chopin,Gibbons,Mozart
COSIACTTEC,COSIATEC,Z,Z,Z,CT,Z,1505,8426,23024,219,12925
COSIACTTEC-RRT,COSIATEC,Z,Z,RRT,CT,Z,1367,8015,21223,224,12252
COSIACTTECBB,COSIATEC,BB,Z,Z,CT,Z,1614,8671,23423,265,13243
COSIACTTECBB-RRT,COSIATEC,BB,Z,RRT,CT,Z,1379,7859,22589,212,12154
COSIACTTECSegment,COSIATEC,Segment,Z,Z,CT,Z,1581,8655,22916,232,13285
COSIACTTECSegment-RRT,COSIATEC,Segment,Z,RRT,CT,Z,1332,7816,21686,225,12226
COSIARCTTEC,COSIATEC,Z,Z,Z,CT,R,5617,34060,74530,607,49902
COSIARCTTEC-RRT,COSIATEC,Z,Z,RRT,CT,R,4908,32376,70989,555,45544
COSIARCTTECBB,COSIATEC,BB,Z,Z,CT,R,5692,34013,77050,568,48750
COSIARCTTECBB-RRT,COSIATEC,BB,Z,RRT,CT,R,4893,32611,69527,604,45697
COSIARCTTECSegment,COSIATEC,Segment,Z,Z,CT,R,5562,34379,74402,663,48668
COSIARCTTECSegment-RRT,COSIATEC,Segment,Z,RRT,CT,R,4909,32789,68860,543,45573
COSIARTEC,COSIATEC,Z,Z,Z,Z,R,11618,70938,219045,816,174738
COSIARTEC-RRT,COSIATEC,Z,Z,RRT,Z,R,9397,85988,190225,834,114933
COSIARTECBB,COSIATEC,BB,Z,Z,Z,R,11614,70815,219296,798,174864
COSIARTECBB-RRT,COSIATEC,BB,Z,RRT,Z,R,9478,88301,198744,798,120816
COSIARTECSegment,COSIATEC,Segment,Z,Z,Z,R,11798,70886,220246,756,175450
COSIARTECSegment-RRT,COSIATEC,Segment,Z,RRT,Z,R,9566,87624,194650,834,119189
COSIATEC,COSIATEC,Z,Z,Z,Z,Z,13699,81283,314403,772,201785
COSIATEC-RRT,COSIATEC,Z,Z,RRT,Z,Z,12821,81107,338376,787,214195
COSIATECBB,COSIATEC,BB,Z,Z,Z,Z,14868,80056,348422,770,224421
COSIATECBB-RRT,COSIATEC,BB,Z,RRT,Z,Z,12482,80785,352843,805,214061
COSIATECSegment,COSIATEC,Segment,Z,Z,Z,Z,13503,81761,300315,646,218068
COSIATECSegment-RRT,COSIATEC,Segment,Z,RRT,Z,Z,12524,81209,335052,782,205331
Forth,Forth,Z,Z,Z,Z,Z,6921,37643,167178,931,84014
Forth-RRT,Forth,Z,Z,RRT,Z,Z,6017,34496,160098,629,84316
ForthBB,Forth,BB,Z,Z,Z,Z,6100,33340,158791,463,83795
ForthBB-RRT,Forth,BB,Z,RRT,Z,Z,6140,34361,158872,593,83987
ForthCT,Forth,Z,Z,Z,CT,Z,408,2525,5218,72,3215
ForthCT-RRT,Forth,Z,Z,RRT,CT,Z,413,2562,5282,84,3128
ForthCTBB,Forth,BB,Z,Z,CT,Z,411,2497,5152,73,3130
ForthCTBB-RRT,Forth,BB,Z,RRT,CT,Z,410,2485,5319,79,3118
ForthCTSegment,Forth,Segment,Z,Z,CT,Z,405,2525,5186,61,3061
ForthCTSegment-RRT,Forth,Segment,Z,RRT,CT,Z,423,2525,5313,84,3201
ForthR,Forth,Z,Z,Z,Z,R,4813,31324,58451,406,41469
ForthR-RRT,Forth,Z,Z,RRT,Z,R,4956,32081,64255,446,42063
ForthRBB,Forth,BB,Z,Z,Z,R,4856,30863,62790,458,40663
ForthRBB-RRT,Forth,BB,Z,RRT,Z,R,4910,31847,61389,453,41615
ForthRCT,Forth,Z,Z,Z,CT,R,1832,9019,14895,211,11498
ForthRCT-RRT,Forth,Z,Z,RRT,CT,R,1842,8999,14823,194,11534
ForthRCTBB,Forth,BB,Z,Z,CT,R,1836,8966,14829,191,11486
ForthRCTBB-RRT,Forth,BB,Z,RRT,CT,R,1850,9127,14861,199,11586
ForthRCTSegment,Forth,Segment,Z,Z,CT,R,1835,9106,14696,281,11463
ForthRCTSegment-RRT,Forth,Segment,Z,RRT,CT,R,1814,8959,14914,182,11396
ForthRSegment,Forth,Segment,Z,Z,Z,R,4846,31450,57934,420,40955
ForthRSegment-RRT,Forth,Segment,Z,RRT,Z,R,4906,32119,61384,446,42061
ForthSegment,Forth,Segment,Z,Z,Z,Z,6108,35693,149146,532,84611
ForthSegment-RRT,Forth,Segment,Z,RRT,Z,Z,6065,34220,157888,628,84722
ReCOSIACTTEC,COSIATEC,Z,RecurSIA,Z,CT,Z,1513,8238,23124,234,12707
ReCOSIACTTEC-RRT,COSIATEC,Z,RecurSIA,RRT,CT,Z,4182,20738,37930,464,18451
ReCOSIACTTECBB,COSIATEC,BB,RecurSIA,Z,CT,Z,1838,8313,22840,231,14406
ReCOSIACTTECBB-RRT,COSIATEC,BB,RecurSIA,RRT,CT,Z,3969,20777,38007,485,18250
ReCOSIACTTECSegment,COSIATEC,Segment,RecurSIA,Z,CT,Z,1517,8265,22891,223,13057
ReCOSIACTTECSegment-RRT,COSIATEC,Segment,RecurSIA,RRT,CT,Z,4389,20760,37877,500,18405
ReCOSIARCTTEC,COSIATEC,Z,RecurSIA,Z,CT,R,6227,38219,84223,649,55122
ReCOSIARCTTEC-RRT,COSIATEC,Z,RecurSIA,RRT,CT,R,6300,41339,88786,667,58085
ReCOSIARCTTECBB,COSIATEC,BB,RecurSIA,Z,CT,R,6230,38129,84623,649,55023
ReCOSIARCTTECBB-RRT,COSIATEC,BB,RecurSIA,RRT,CT,R,6266,41467,87739,667,58022
ReCOSIARCTTECSegment,COSIATEC,Segment,RecurSIA,Z,CT,R,6250,38254,84182,649,55672
ReCOSIARCTTECSegment-RRT,COSIATEC,Segment,RecurSIA,RRT,CT,R,6177,41372,88464,653,58238
ReCOSIARTEC,COSIATEC,Z,RecurSIA,Z,Z,R,11740,67685,230959,801,164102
ReCOSIARTEC-RRT,COSIATEC,Z,RecurSIA,RRT,Z,R,10870,98542,233477,998,130745
ReCOSIARTECBB,COSIATEC,BB,RecurSIA,Z,Z,R,11924,67307,213155,782,164862
ReCOSIARTECBB-RRT,COSIATEC,BB,RecurSIA,RRT,Z,R,11048,97820,214366,943,131212
ReCOSIARTECSegment,COSIATEC,Segment,RecurSIA,Z,Z,R,11828,67697,214266,803,164432
ReCOSIARTECSegment-RRT,COSIATEC,Segment,RecurSIA,RRT,Z,R,11215,98097,217787,966,131886
ReCOSIATEC,COSIATEC,Z,RecurSIA,Z,Z,Z,15103,74547,340398,809,208681
ReCOSIATEC-RRT,COSIATEC,Z,RecurSIA,RRT,Z,Z,47097,321667,1182718,9172,493228
ReCOSIATECBB,COSIATEC,BB,RecurSIA,Z,Z,Z,14010,67855,292879,718,205457
ReCOSIATECBB-RRT,COSIATEC,BB,RecurSIA,RRT,Z,Z,48147,327384,1212084,9259,503880
ReCOSIATECSegment,COSIATEC,Segment,RecurSIA,Z,Z,Z,14760,71370,305269,778,202613
ReCOSIATECSegment-RRT,COSIATEC,Segment,RecurSIA,RRT,Z,Z,47966,318927,1178426,9113,493082
ReForth,Forth,Z,RecurSIA,Z,Z,Z,6690,36583,175313,593,91727
ReForth-RRT,Forth,Z,RecurSIA,RRT,Z,Z,6729,38219,176487,640,93590
ReForthBB,Forth,BB,RecurSIA,Z,Z,Z,6723,36913,172973,595,92062
ReForthBB-RRT,Forth,BB,RecurSIA,RRT,Z,Z,6748,37873,177449,628,93739
ReForthCT,Forth,Z,RecurSIA,Z,CT,Z,474,2895,6135,80,3539
ReForthCT-RRT,Forth,Z,RecurSIA,RRT,CT,Z,460,2928,6151,87,3505
ReForthCTBB,Forth,BB,RecurSIA,Z,CT,Z,465,2906,6135,81,3527
ReForthCTBB-RRT,Forth,BB,RecurSIA,RRT,CT,Z,469,2927,6188,81,3566
ReForthCTSegment,Forth,Segment,RecurSIA,Z,CT,Z,463,2895,6085,86,3551
ReForthCTSegment-RRT,Forth,Segment,RecurSIA,RRT,CT,Z,464,2956,6197,86,3576
ReForthR,Forth,Z,RecurSIA,Z,Z,R,5745,34400,63729,570,46820
ReForthR-RRT,Forth,Z,RecurSIA,RRT,Z,R,5847,35373,66755,561,47749
ReForthRBB,Forth,BB,RecurSIA,Z,Z,R,5654,34287,63133,511,46571
ReForthRBB-RRT,Forth,BB,RecurSIA,RRT,Z,R,5759,35657,66913,567,47952
ReForthRCT,Forth,Z,RecurSIA,Z,CT,R,2342,11712,18682,242,14279
ReForthRCT-RRT,Forth,Z,RecurSIA,RRT,CT,R,2317,11575,18749,246,14394
ReForthRCTBB,Forth,BB,RecurSIA,Z,CT,R,2330,11452,18656,260,14316
ReForthRCTBB-RRT,Forth,BB,RecurSIA,RRT,CT,R,2297,11570,18874,240,14420
ReForthRCTSegment,Forth,Segment,RecurSIA,Z,CT,R,2374,11582,18769,258,14288
ReForthRCTSegment-RRT,Forth,Segment,RecurSIA,RRT,CT,R,2322,11558,19063,256,14277
ReForthRSegment,Forth,Segment,RecurSIA,Z,Z,R,5701,34701,63695,515,46765
ReForthRSegment-RRT,Forth,Segment,RecurSIA,RRT,Z,R,5735,35640,67311,561,47679
ReForthSegment,Forth,Segment,RecurSIA,Z,Z,Z,6712,36348,171359,594,92267
ReForthSegment-RRT,Forth,Segment,RecurSIA,RRT,Z,Z,6669,38170,176662,648,92762
ReSIACTTECCompress,SIATECCompress,Z,RecurSIA,Z,CT,Z,553,3289,6469,97,3654
ReSIACTTECCompress-RRT,SIATECCompress,Z,RecurSIA,RRT,CT,Z,562,3108,6230,90,3652
ReSIACTTECCompressBB,SIATECCompress,BB,RecurSIA,Z,CT,Z,557,3639,6683,107,3643
ReSIACTTECCompressBB-RRT,SIATECCompress,BB,RecurSIA,RRT,CT,Z,540,3108,6215,87,3661
ReSIACTTECCompressSegment,SIATECCompress,Segment,RecurSIA,Z,CT,Z,543,3047,6314,80,3635
ReSIACTTECCompressSegment-RRT,SIATECCompress,Segment,RecurSIA,RRT,CT,Z,565,3099,6251,84,3639
ReSIARCTTECCompress,SIATECCompress,Z,RecurSIA,Z,CT,R,2418,12367,19430,337,15390
ReSIARCTTECCompress-RRT,SIATECCompress,Z,RecurSIA,RRT,CT,R,2429,11843,19313,231,14557
ReSIARCTTECCompressBB,SIATECCompress,BB,RecurSIA,Z,CT,R,2702,11887,21374,236,15365
ReSIARCTTECCompressBB-RRT,SIATECCompress,BB,RecurSIA,RRT,CT,R,2422,11730,19067,248,14549
ReSIARCTTECCompressSegment,SIATECCompress,Segment,RecurSIA,Z,CT,R,2664,12290,22239,276,15933
ReSIARCTTECCompressSegment-RRT,SIATECCompress,Segment,RecurSIA,RRT,CT,R,2419,11661,19189,237,14671
ReSIARTECCompress,SIATECCompress,Z,RecurSIA,Z,Z,R,7825,59721,122102,737,76316
ReSIARTECCompress-RRT,SIATECCompress,Z,RecurSIA,RRT,Z,R,7386,59466,120931,774,71577
ReSIARTECCompressBB,SIATECCompress,BB,RecurSIA,Z,Z,R,7733,62056,123613,744,74630
ReSIARTECCompressBB-RRT,SIATECCompress,BB,RecurSIA,RRT,Z,R,7409,59988,120380,763,70674
ReSIARTECCompressSegment,SIATECCompress,Segment,RecurSIA,Z,Z,R,8028,64286,135497,737,73741
ReSIARTECCompressSegment-RRT,SIATECCompress,Segment,RecurSIA,RRT,Z,R,7386,60142,115678,770,70711
ReSIATECCompress,SIATECCompress,Z,RecurSIA,Z,Z,Z,8652,61192,201495,791,113008
ReSIATECCompress-RRT,SIATECCompress,Z,RecurSIA,RRT,Z,Z,9231,67147,223964,896,122395
ReSIATECCompressBB,SIATECCompress,BB,RecurSIA,Z,Z,Z,9215,64749,204141,811,123889
ReSIATECCompressBB-RRT,SIATECCompress,BB,RecurSIA,RRT,Z,Z,9062,67105,216182,883,117152
ReSIATECCompressSegment,SIATECCompress,Segment,RecurSIA,Z,Z,Z,8670,60636,201075,795,114261
ReSIATECCompressSegment-RRT,SIATECCompress,Segment,RecurSIA,RRT,Z,Z,9260,63868,217046,916,119610
SIACTTECCompress,SIATECCompress,Z,Z,Z,CT,Z,463,2651,5366,134,3154
SIACTTECCompress-RRT,SIATECCompress,Z,Z,RRT,CT,Z,501,2641,5284,113,3138
SIACTTECCompressBB,SIATECCompress,BB,Z,Z,CT,Z,454,2580,5188,84,3184
SIACTTECCompressBB-RRT,SIATECCompress,BB,Z,RRT,CT,Z,488,2644,5295,70,3256
SIACTTECCompressSegment,SIATECCompress,Segment,Z,Z,CT,Z,453,2563,5185,74,3234
SIACTTECCompressSegment-RRT,SIATECCompress,Segment,Z,RRT,CT,Z,483,2664,5368,82,3207
SIARCTTECCompress,SIATECCompress,Z,Z,Z,CT,R,1902,9285,14966,192,11840
SIARCTTECCompress-RRT,SIATECCompress,Z,Z,RRT,CT,R,1919,9292,15064,215,11647
SIARCTTECCompressBB,SIATECCompress,BB,Z,Z,CT,R,1911,9125,14858,206,11669
SIARCTTECCompressBB-RRT,SIATECCompress,BB,Z,RRT,CT,R,1927,9369,15089,204,11635
SIARCTTECCompressSegment,SIATECCompress,Segment,Z,Z,CT,R,1903,9303,14943,207,11560
SIARCTTECCompressSegment-RRT,SIATECCompress,Segment,Z,RRT,CT,R,1912,9400,15100,188,11651
SIARTECCompress,SIATECCompress,Z,Z,Z,Z,R,5951,49060,93849,691,59064
SIARTECCompress-RRT,SIATECCompress,Z,Z,RRT,Z,R,6116,49943,97530,606,59983
SIARTECCompressBB,SIATECCompress,BB,Z,Z,Z,R,5969,47850,93471,577,58665
SIARTECCompressBB-RRT,SIATECCompress,BB,Z,RRT,Z,R,6150,49893,97059,595,59955
SIARTECCompressSegment,SIATECCompress,Segment,Z,Z,Z,R,5960,48332,93596,655,58686
SIARTECCompressSegment-RRT,SIATECCompress,Segment,Z,RRT,Z,R,6218,50074,96663,601,60131
SIATECCompress,SIATECCompress,Z,Z,Z,Z,Z,7489,53311,181939,698,101726
SIATECCompress-RRT,SIATECCompress,Z,Z,RRT,Z,Z,7718,53748,185430,863,102749
SIATECCompressBB,SIATECCompress,BB,Z,Z,Z,Z,7353,52009,179463,650,101601
SIATECCompressBB-RRT,SIATECCompress,BB,Z,RRT,Z,Z,7659,53795,184161,853,103596
SIATECCompressSegment,SIATECCompress,Segment,Z,Z,Z,Z,7438,51787,179364,663,101720
SIATECCompressSegment-RRT,SIATECCompress,Segment,Z,RRT,Z,Z,7723,53802,184450,872,102587